Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
27.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
26.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
25.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
24.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
23.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
20.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
19.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
18.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
17.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
16.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
13.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
12.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
11.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
10.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
06.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
05.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
04.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
03.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
02.12.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
29.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
28.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
27.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
26.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
25.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
22.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
21.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
20.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
19.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
18.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
15.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
14.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
13.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
12.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
11.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
08.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
07.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
06.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
05.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
04.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
01.11.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
31.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
30.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
29.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
28.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
25.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
24.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
22.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
21.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
18.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
17.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
16.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
15.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
14.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
10.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
09.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
08.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
07.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
04.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
03.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
02.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
01.10.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
30.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
27.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
26.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
25.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
24.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
23.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
20.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
19.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
18.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
17.09.2024,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,10,"120,000","120,000"
16.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
13.09.2024,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,10,"120,000","120,000"
12.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
11.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
10.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
06.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
05.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
04.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
03.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
02.09.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
30.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
29.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
27.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
26.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
23.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
22.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
21.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
20.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
19.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
16.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
15.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
14.08.2024,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,39,"468,000","468,000"
13.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
12.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
09.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
08.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
07.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
06.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
05.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
01.08.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
31.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
30.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
29.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
26.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
25.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
24.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
23.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
22.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
19.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
18.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
17.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
16.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
15.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
12.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
11.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
10.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
09.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
08.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
05.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
04.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
03.07.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
02.07.2024,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,13,"156,000","156,000"
01.07.2024,"12.000,00","12.000,00","12.000,00","12.000,00",0.0,6,"72,000","72,000"
28.06.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
27.06.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
26.06.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
25.06.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
24.06.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
20.06.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
19.06.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
18.06.2024,"12.000,00",",",",","12.000,00",0.0,0,0,0
